施設・区域名,用途,所在地1,所在地2,所在地3,所在地4,所在地5,所在地6,所在地7,2-1(a)面積（千㎡）,2-4(a)面積（千㎡）
キャンプ千歳,通信,北海道千歳市,-,-,-,-,-,-,4274,4263
三沢飛行場,飛行場,青森県三沢市,青森県上北郡東北町,-,-,-,-,-,15780,5183
八戸貯油施設,倉庫,青森県八戸市,青森県三沢市,青森県上北郡おいらせ町,-,-,-,-,173,1
三沢対地射爆撃場,演習場,青森県三沢市,青森県上北郡六ヶ所村,-,-,-,-,-,7656,7655
車力通信所,通信,青森県つがる市,-,-,-,-,-,-,135,0
赤坂プレス・センター,事務所,東京都港区,-,-,-,-,-,-,27,0
横田飛行場,飛行場,東京都福生市,東京都西多摩郡瑞穂町,東京都武蔵村山市,東京都羽村市,東京都立川市,東京都昭島市,埼玉県狭山市,7136,139
多摩サービス補助施設,その他,東京都稲城市,東京都多摩市,-,-,-,-,-,1948,0
木更津飛行場,飛行場,千葉県木更津市,-,-,-,-,-,-,2095,2082
キャンプ朝霞,通信,埼玉県和光市,-,-,-,-,-,-,118,0
所沢通信施設,通信,埼玉県所沢市,-,-,-,-,-,-,966,0
大和田通信所,通信,埼玉県新座市,東京都清瀬市,-,-,-,-,-,1199,0
硫黄島通信所,通信,東京都小笠原村,-,-,-,-,-,-,3810,132
ニューサンノー米軍センター,その他,東京都港区,-,-,-,-,-,-,7,0
根岸住宅地区,住宅,神奈川県横浜市,-,-,-,-,-,-,429,0
横浜ノース・ドック,港湾,神奈川県横浜市,-,-,-,-,-,-,523,0
キャンプ座間,事務所,神奈川県相模原市,神奈川県座間市,-,-,-,-,-,2292,170
厚木海軍飛行場,飛行場,神奈川県綾瀬市,神奈川県大和市,-,-,-,-,-,2497,1076
相模総合補給廠,工場,神奈川県相模原市,-,-,-,-,-,-,1967,0
池子住宅地区及び海軍補助施設,住宅,神奈川県逗子市,神奈川県横浜市,-,-,-,-,-,2882,0
吾妻倉庫地区,倉庫,神奈川県横須賀市,-,-,-,-,-,-,802,254
横須賀海軍施設,港湾,神奈川県横須賀市,-,-,-,-,-,-,2363,49
相模原住宅地区,住宅,神奈川県相模原市,-,-,-,-,-,-,593,0
浦郷倉庫地区,倉庫,神奈川県横須賀市,-,-,-,-,-,-,194,0
富士営舎地区,兵舎,静岡県御殿場市,-,-,-,-,-,-,1177,47
